lat,lon,utm_x,utm_y,prof
-41.748321,-64.299835,391926.5450050000,5377350.44039200,116.0
-42.379428,-64.076473,411380.1522400000,5307533.75397200,32.0
-42.21639,-64.323951,390724.82843599998,5325349.374034000,9.3
-42.296017,-64.297347,393055.33062899997,5316541.619660000,61.0
-42.244421,-64.264506,395677.5070490000,5322311.407739000,1.8
-42.390715,-64.471396,378889.5315630000,5305793.110495000,34.0
-42.40765,-64.361965,387927.0972310000,5304062.837881000,17.5
-42.366521,-64.333131,390228.17184700002,5308667.409323000,44.0
-42.225625,-64.49104,376951.42065200000,5324096.258183000,36.0
-41.975886,-64.437426,380909.5228700000,5351901.888091000,152.0
-42.20806,-64.262683,395768.10134499997,5326351.014623000,3.2
-42.18153,-64.647566,363939.1198120000,5328754.612646000,115.0
-42.297481,-64.353635,388417.8255800000,5316306.808846000,69.0
-42.248847,-64.417509,383062.60666500003,5321621.296678000,23.5
-42.425425,-64.400427,384794.6388370000,5302037.637220000,3.4
-42.103659,-64.090042,409871.41573299997,5338139.669933000,49.0
-42.340293,-64.454913,380150.4491960000,5311415.297932000,55.0
-42.196094,-64.384724,385672.1057950000,5327523.276681000,132.0
-42.365884,-64.381851,386215.2791450000,5308674.078373000,48.0
-42.301755,-64.163605,404088.99617200001,5316063.852154000,55.0
-42.291703,-64.372208,386876.4552030000,5316923.870216000,59.0
-42.422956,-64.470616,379015.7175880000,5302214.177159000,11.5
-42.170488,-64.161076,404098.88697499997,5330642.019317000,9.6
-42.154325,-64.154987,404577.53888800001,5332443.49160000,31.0
-42.345477,-64.07593,411377.14817900001,5311304.162043000,23.5
-42.182567,-64.307297,392041.8575770000,5329126.14353300,112.0
-42.35277,-64.422396,382852.28714999999,5310075.177552000,65.0
-42.097284,-64.05831,412486.39601700002,5338880.488098000,40.0
-42.182606,-64.193321,401454.3346190000,5329259.75890900,23.5
-42.365836,-64.36171,387873.6784960000,5308706.170839000,56.0
-42.409694,-64.488644,377506.75054300000,5303660.9508079998,5.8
-42.053632,-64.538546,372686.72933100001,5343123.933699000,161.0
-42.370181,-64.088675,410362.4697380000,5308547.727594000,45.0
-42.224181,-64.433611,381688.17098800000,5324337.905634000,62.0
-42.062238,-64.580185,369258.7086370000,5342105.541338000,153.0
-42.373284,-64.555464,371934.3204020000,5307605.393220000,33.0
-42.415827,-64.157325,404779.0436110000,5303404.58812500,2.2
-41.983228,-64.639852,364153.71584100003,5350785.382706000,136.0
-42.005043,-64.523791,373811.6372420000,5348540.804936000,145.0
-42.213607,-64.428045,382127.8584410000,5325519.716445000,106.0
-42.395737,-64.269815,395490.25083999999,5305503.1181340003,22.5
-42.116994,-64.304068,392197.29113999999,5336411.101439000,165.0
-42.37972,-64.096405,409739.66475200001,5307480.35581000,47.0
-42.219621,-64.508402,375506.78604600002,5324737.71333300,55.0
-42.406459,-64.416014,383477.24535699998,5304122.356908000,9.5
-42.183004,-64.136584,406140.3857480000,5329279.546740000,9.2
-42.119141,-64.504018,375671.96396099997,5335901.002755000,173.0
-42.255856,-64.287862,393769.784152000,5321012.846627000,6.8
-42.271842,-64.335232,389890.19360300002,5319177.654101000,28.5
-42.242648,-64.245415,397249.67301500001,5322531.471716000,3.6
-42.287505,-64.328111,390504.56264000002,5317447.661367000,54.0
-42.279836,-64.270341,395254.7532760000,5318371.886148000,42.0
-41.991291,-64.460718,379008.91630099999,5350158.784509000,169.0
-41.974541,-64.36605,386820.75277299999,5352148.007249000,149.0
-42.202188,-64.27246,394951.2877770000,5326991.017765000,11.6
-42.125943,-64.121659,407289.6622970000,5335631.570506000,43.0
-42.409881,-64.168587,403843.3472710000,5304052.138265000,7.0
-41.752506,-64.398088,383764.770728000,5376757.695557000,127.0
-42.218117,-64.655424,363369.0311410000,5324679.5255100001,9.9
-41.991275,-64.481394,377296.2547130000,5350131.136880000,149.0
-42.021439,-64.549878,371684.2301970000,5346681.513555000,147.0
-42.360478,-64.268541,395536.6719360000,5309419.799308000,51.0
-42.191773,-64.32247,390804.67831699998,5328084.63846500,107.0
-42.335752,-64.296374,393202.7569460000,5312130.758523000,69.0
-42.301579,-64.528214,374034.876470000,5315608.156100000,14.5
-42.206247,-64.358615,387845.7614810000,5326430.599540000,102.0
-42.126038,-64.374878,386359.73077600001,5335315.110996000,176.0
-42.278832,-64.489523,377179.910962000,5318190.479317000,7.3
-42.420592,-64.373594,386993.3991820000,5302610.351167000,5.8
-42.295208,-64.231462,398485.2354690000,5316712.120209000,48.0
-41.733844,-64.231409,397592.8562170000,5379041.469440000,110.0
-42.383182,-64.131682,406840.6085720000,5307057.874715000,35.0
-42.397036,-64.590839,369071.1065200000,5304914.053558000,1.7
-42.219698,-64.553017,371824.636230000,5324663.0413800003,44.0
-42.190714,-64.173737,403084.0109550000,5328381.924891000,2.3
-42.353212,-64.165498,404011.23570299998,5310348.065942000,58.0
-42.348608,-64.398763,384791.12203799997,5310569.61080800,59.0
-42.229461,-64.438521,381292.8489140000,5323744.80495600,28.5
-42.261241,-64.173593,403203.7162430000,5320551.085009000,11.5
-42.383765,-64.547682,372596.2432360000,5306453.279853000,22.5
-42.003659,-64.58113,369060.3088880000,5348608.353269000,171.0
-42.41535,-64.506718,376030.63980200002,5303006.681260000,9.4
-42.348043,-64.084706,410657.90714999998,5311010.057724000,39.0
-42.375303,-64.516382,375156.1211190000,5307439.353119000,49.0
-42.150735,-64.2804,394210.0503650000,5332694.293475000,136.0
-42.13658,-64.27439,394683.15990700002,5334273.416571000,141.0
-42.413221,-64.565808,371164.3800010000,5303155.13693000,13.5
-42.117177,-64.120177,407399.39350200002,5336606.496823000,52.0
-42.199348,-64.234063,398116.6619720000,5327352.943090000,4.2
-42.38382,-64.191383,401926.9864690000,5306919.862458000,35.0
-41.768735,-64.093922,409076.0567100000,5375322.120189000,101.0
-42.12623,-64.07041,411526.08160699997,5335654.06423700,34.0
-42.11076,-64.144553,405374.75266200001,5337292.28544100,46.0
-42.191023,-64.150288,405020.69427500002,5328373.991444000,1.2
-42.163795,-64.391636,385042.91382900003,5331100.327532000,165.0
-42.330209,-64.140895,406003.2679820000,5312929.742692000,36.0
-42.251846,-64.203725,400703.6967390000,5321559.590868000,2.7
-42.398076,-64.432729,382086.05451300001,5305030.139012000,27.5
-41.976464,-64.515655,374429.24252099998,5351725.974204000,171.0
-42.329824,-64.110183,408533.0590240000,5313005.969237000,17.5
-42.113942,-64.189519,401662.08073699998,5336888.193072000,40.0
-42.242298,-64.374205,386623.3098050000,5322407.004566000,4.0
-42.405837,-64.337097,389970.29227000,5304296.66445900,4.6
-42.183712,-64.161961,404045.7840200000,5329172.702998000,7.8
-42.167517,-64.274303,394741.6295630000,5330838.446929000,91.0
-42.399216,-64.125677,407358.52800499997,5305284.049399000,20.5
-42.255799,-64.229776,398561.0313930000,5321089.9740249999,4.1
-41.739884,-64.062016,411688.49168099998,5378558.579486000,99.0
-42.244691,-64.249928,396880.65922999999,5322299.173100000,4.1
-42.394359,-64.209636,400441.06239899999,5305728.399604000,29.5
-41.712424,-64.638441,363696.8178510000,5380855.2516240003,131.0
-41.975311,-64.549133,371653.23077700002,5351804.367315000,129.0
-42.389792,-64.098551,409577.45229099999,5306359.697527000,37.0
-42.208244,-64.650496,363754.55221900000,5325783.686481000,51.0
-42.122915,-64.050783,413143.8267170000,5336042.284483000,38.0
-42.292628,-64.152348,405003.15604400000,5317089.907975000,45.0
-42.344065,-64.117913,407916.96560100000,5311416.345683000,12.5
-42.324813,-64.092912,409948.8695360000,5313580.800904000,5.6
-42.402351,-64.51434,375377.7705960000,5304438.940533000,25.5
-42.324909,-64.228573,398771.00115800003,5313417.6419510003,56.0
-42.068796,-64.326079,390294.64381899999,5341734.691037000,160.0
-42.36019,-64.384185,386012.7945300000,5309303.207376000,48.0
-42.407003,-64.445585,381044.8503170000,5304020.961611000,23.5
-42.228386,-64.587937,368960.47926699999,5323645.249518000,4.0
-42.075207,-64.426904,381965.18786700000,5340888.558064000,174.0
-42.202728,-64.300526,392635.1572870000,5326896.1043029996,11.5
-42.261865,-64.104833,408875.9125780000,5320557.642791000,5.5
-42.418734,-64.358074,388266.96387600002,5302837.199834000,1.8
-42.383819,-64.448173,380788.00246599998,5306591.681154000,47.0
-42.281923,-64.306008,392317.356738000,5318095.661092000,48.0
-41.990915,-64.591148,368204.3561970000,5350007.9890750004,160.0
-42.397322,-64.390791,385536.25519900001,5305171.219327000,22.5
-42.332595,-64.155939,404767.3980940000,5312648.0754370000,45.0
-42.070537,-64.539096,372675.00347300002,5341246.080971000,164.0
-42.379364,-64.456733,380074.8589940000,5307074.318482000,51.0
-42.208974,-64.272638,394947.83779199998,5326237.311130000,6.9
-42.290663,-64.188092,402053.42026799999,5317267.5909450,51.0
-42.174773,-64.291163,393361.14846300002,5330011.842879000,102.0
-42.065319,-64.342592,388922.44965999998,5342099.4331310,159.0
-42.37322,-64.525807,374375.9905790000,5307656.76116200,44.0
-42.133637,-64.599754,367787.99898099998,5334147.629068000,140.0
-42.414189,-64.53666,373564.6931310000,5303091.456487000,3.1
-42.250125,-64.462583,379346.5857820000,5321416.54110700,6.9
-42.061166,-64.418498,382634.6885180000,5342459.155300000,172.0
-42.308418,-64.340933,389484.02192899998,5315108.96268300,77.0
-41.867666,-64.116731,407322.9695160000,5364313.672273000,90.0
-42.279287,-64.147407,405390.52320499998,5318576.748361000,34.0
-42.34567,-64.180957,402726.4078750000,5311167.947129000,59.0
-42.191117,-64.259542,395999.60444899998,5328236.122168000,11.6
-42.122772,-64.647873,363787.80328699999,5335278.402685000,136.0
-41.94819,-64.058406,412273.7248800000,5355434.490170000,90.0
-42.424076,-64.390476,385610.8142870000,5302200.883683000,3.5
-42.309709,-64.52521,374298.66962200002,5314709.854334000,23.5
