X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.3794308061301,-42.4287471005524,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1745828239752,-42.4237311708943,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.6174678491242,-42.3944804306614,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3209491161079,-42.2499351501835,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.327679101519,-42.4143657526268,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5938900891612,-42.3839643746742,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1103375318541,-42.4176743680997,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1789468767619,-42.2040534632657,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1101930115967,-42.1855424809626,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0837820931514,-42.178748357237,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-63.9701576178586,-42.1224346226518,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.49042195,-42.42305625,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5478826088204,-42.4286554155417,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.06055615,-42.16851145,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4665889107828,-42.4634244855077,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-63.98132395,-42.13539145,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4820938320097,-42.4223246234397,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5181788523577,-42.4384609818262,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1768705377591,-42.4285801834005,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
