RCID,Latitud,Longitud,Profundidad
242,-42.3456700,-64.1809570,59.0
243,-42.1911170,-64.2595420,11.6
244,-42.1227720,-64.647873,136.0
246,-41.9481900,-64.0584060,90.0
247,-42.4240760,-64.3904760,3.5
248,-42.3097090,-64.5252100,23.5
250,-42.4108760,-64.1775170,7.3
251,-42.3365940,-64.5599470,4.2
252,-42.1836090,-64.2025040,19.6
254,-42.2099110,-64.3507900,97.0
256,-42.2421470,-64.2530930,3.1
258,-42.108985,-64.1750360,36.0
259,-42.1458260,-64.1668880,32.0
260,-42.1737690,-64.2344600,19.6
261,-42.1700640,-64.240582,25.5
262,-42.4039510,-64.1847850,11.5
265,-42.2197770,-64.4018560,66.0
268,-42.1179050,-64.0813480,36.0
270,-42.3886190,-64.5580810,32.0
271,-42.3201370,-64.393223,56.0
272,-42.3768740,-64.1338600,39.0
274,-42.2091400,-64.28442,8.7
275,-42.216073,-64.6143890,44.0
279,-42.3708880,-64.0798350,40.0
281,-42.1007080,-64.6254910,143.0
282,-42.3151320,-64.5342450,22.5
284,-42.3213240,-64.4569470,63.0
285,-42.036588,-64.5171290,176.0
287,-42.2587680,-64.1815050,5.2
288,-42.15612,-64.1787340,30.5
290,-42.3910580,-64.251528,29.5
291,-42.2279000,-64.4082530,27.5
292,-42.3908150,-64.5407980,29.5
293,-42.4076950,-64.1828780,9.8
294,-42.3463810,-64.3417650,45.0
295,-42.3609510,-64.3179050,34.0
296,-42.4074840,-64.2346830,8.6
297,-42.2832390,-64.3623390,51.0
298,-42.3184290,-64.2571500,54.0
299,-42.3513390,-64.4115640,66.0
300,-42.356727,-64.3025640,50.0
303,-42.0744980,-64.1788650,52.0
304,-42.2760480,-64.4175890,51.0
305,-42.3849660,-64.0883630,31.0
306,-42.4163340,-64.4572690,15.5
307,-42.3958650,-64.259915,26.5
308,-42.0193300,-64.6428460,149.0
309,-42.3304400,-64.5370880,26.5
310,-42.2563400,-64.3890840,21.5
311,-42.294515,-64.268555,48.0
312,-42.26603,-64.3652350,28.5
317,-42.3041780,-64.5216860,18.5
318,-42.2662230,-64.2334210,14.5
321,-42.2832710,-64.3750490,50.0
322,-42.3310790,-64.0698580,3.6
323,-42.4059970,-64.3220090,3.8
324,-42.4037630,-64.3305690,8.2
325,-42.2604070,-64.3532670,7.7
326,-42.2702330,-64.138484,25.5
327,-42.4229200,-64.3979540,5.0
328,-42.3359820,-64.4334880,73.0
329,-42.1945890,-64.2861560,13.6
330,-42.3428330,-64.139909,40.0
331,-42.2572230,-64.4403970,14.6
335,-42.3746280,-64.2179450,22.5
336,-42.0769510,-64.0873060,52.0
338,-42.3768320,-64.3838880,47.0
339,-42.121481,-64.1772850,51.0
340,-42.4128840,-64.506758,14.5
341,-42.1319530,-64.0877550,31.0
342,-42.3591640,-64.1940610,44.0
343,-42.2967010,-64.5333590,3.1
344,-42.1307120,-64.0118280,30.5
348,-42.0989260,-64.0739600,39.0
349,-42.3414070,-64.0841670,35.0
350,-42.2711350,-64.2271090,21.5
351,-42.2194010,-64.4544240,64.0
355,-42.3537120,-64.1979730,52.0
